"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","X48","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Track.Lat.WGS","Track.Lon.WGS","Track.Lat.UTM","Track.Lon.UTM","Dolphin.Lon","Dolphin.Lat","Dolphin.Lat.WGS","Dolphin.Lon.WGS","Dolphin.Lat.UTM","Dolphin.Lon.UTM","dist.UTM","dist.WGS","LS.dist.UTM","LS.dist.WGS","PTT"
"24",28,179063,"F266",2019-06-12,15:36:48,-45,00:00:45,04:00:00,11:36:03,11,11:37:12,00:01:09,NA,70,70,9,235,"N","N","Y","N","TR",204,NA,2,8,NA,8,9.4,-0.8,27.3572,-82.5926,11:37:12,11:37:09,27.35748312,-82.59301267,00:00:03,00:01:06,27.35705,-82.592541,-26,8,0.19625,14.300453,29.729213,0,22.601803,"looks off. Bearing good, but tag did not clear..",27.3572,-82.5926,1286657.73642277,-10259730.0449107,27.35705,-82.592541,1286664.71981437,-10259730.0877462,27.35748312,-82.59301267,1286612.41713724,-10259719.2097049,-82.5935922230162,27.3571207809905,27.3571207809905,-82.5935922230162,1286552.26793309,-10259693.5419541,111.60675675921,98.5616256054198,118.241365525243,104.302742765637,"179063"
"25",29,179063,"F266",2019-06-14,11:52:35,-54,00:00:54,04:00:00,07:51:41,12,07:51:58,00:00:17,41,45,41,NA,315,"Y","Y","Y","Y","TR",9,"Frame 2 of Cam B - non focal",1,4,NA,4,1.5,0.1,27.3589,-82.6035,07:51:58,07:52:02,27.35868098,-82.60373597,00:00:04,00:00:21,27.358893,-82.603572,-26,4,0.095,0,0,0,1.036608,NA,27.3589,-82.6035,1285487.31329289,-10259364.3638789,27.358893,-82.603572,1285479.665979,-10259361.6978674,27.35868098,-82.60373597,1285463.1513157,-10259352.933874,-82.6040289962838,27.3589426130262,27.3589426130262,-82.6040289962838,1285430.69504283,-10259346.0676392,59.5010808753407,52.5503165301742,51.404830713842,45.547218398635,"179063"
"26",30,179063,"F266",2019-06-14,12:00:30,-54,00:00:54,04:00:00,07:59:36,13,07:59:52,00:00:16,55,70,55,NA,315,"Y","Y","Y","Y","TR",18,NA,4,5,1,4,0.3,0,27.3653,-82.6059,07:59:52,07:59:52,27.36474437,-82.60595039,00:00:00,00:00:16,27.36471,-82.60671,-26,5,-0.116094,26.268598,54.609789,0,6.472323,NA,27.3653,-82.6059,1285201.92515819,-10259366.5579908,27.36471,-82.60671,1285118.24568066,-10259329.5391524,27.36474437,-82.60595039,1285199.10412976,-10259357.1315657,-82.6063434957692,27.3650953406845,27.3650953406845,-82.6063434957692,1285155.5645971,-10259347.9139546,49.9690075206286,49.390332557212,41.5972941330667,56.017505150333,"179063"
"27",31,179063,"F266",2019-06-14,12:10:44,-54,00:00:54,04:00:00,08:09:50,14,08:09:14,00:00:36,NA,30,30,NA,180,"Y","Y","Y","Y","TR",31,NA,1,4,NA,4,0.5,-0.1,27.3711,-82.6099,08:09:14,08:09:12,27.37135635,-82.60974579,00:00:02,00:00:38,27.371119,-82.610093,-26,4,-0.105,0,0,0,0.676608,NA,27.3711,-82.6099,1284748.66399173,-10259303.3148814,27.371119,-82.610093,1284727.99315885,-10259296.6825944,27.37135635,-82.60974579,1284763.93278666,-10259312.3394898,-82.60974579,27.3710856148164,27.3710856148164,-82.60974579,1284765.17665918,-10259308.6250982,17.3455062913513,15.3385848391812,39.0542711316629,34.5470842272136,"179063"
"28",32,179063,"F266",2019-06-14,12:20:54,-54,00:00:54,04:00:00,08:20:00,15,08:20:02,00:00:02,43,NA,43,NA,185,"Y","Y","Y","Y","SO",46,NA,1,5,1,4,0.4,0.7,27.3706,-82.614,08:20:02,08:20:02,27.37118368,-82.61403096,00:00:00,00:00:02,27.370741,-82.614024,-26,5,0.70625,4.22109,8.775224,0,0.473269,"THIS is a great exemplter. Close in time and with a laser range finder distance - only 5 m differencfe",27.3706,-82.614,1284313.69432329,-10259150.0296666,27.370741,-82.614024,1284310.48731102,-10259151.1058971,27.37118368,-82.61403096,1284307.71240286,-10259156.9272058,-82.6140688433558,27.3707971028807,27.3707971028807,-82.6140688433558,1284305.44716934,-10259150.2736439,8.25076197617363,22.8780556359881,5.10839246579818,7.63726578131866,"179063"
"29",33,179063,"F266",2019-06-14,12:53:55,-54,00:00:54,04:00:00,08:53:01,16,08:53:01,00:00:00,NA,80,80,NA,25,"Y","Y","Y","Y","TR",94,NA,1,4,NA,4,0.3,-0.3,27.3724,-82.6105,08:53:01,08:53:02,27.3726159,-82.61113912,00:00:01,00:00:01,27.372475,-82.610651,-26,4,-0.32,0,0,0,3.452502,NA,27.3724,-82.6105,1284678.70143032,-10259299.7196972,27.372475,-82.610651,1284662.25278801,-10259295.3552533,27.3726159,-82.61113912,1284609.54778902,-10259279.8536893,-82.6107973516201,27.3732702178337,27.3732702178337,-82.6107973516201,1284642.99111277,-10259301.0364169,35.7345845133349,100.815190240908,20.082025607601,89.2990752394007,"179063"
"30",34,179063,"F266",2019-06-14,13:04:20,-54,00:00:54,04:00:00,09:03:26,17,09:03:28,00:00:02,NA,25,25,NA,175,"Y","Y","Y","Y","MI",111,NA,2,6,NA,6,4.7,-0.2,27.3728,-82.6129,09:03:28,09:03:32,27.37272277,-82.61301977,00:00:04,00:00:06,27.372778,-82.612995,-26,6,-0.198906,14.057675,29.224501,0,7.132944,NA,27.3728,-82.6129,1284420.90592349,-10259219.4844842,27.372778,-82.612995,1284410.87532311,-10259215.7896247,27.37272277,-82.61301977,1284408.48728635,-10259214.1475122,-82.6129977444564,27.3724980159143,27.3724980159143,-82.6129977444564,1284411.86851147,-10259211.8520522,11.8291519070564,34.831720550827,4.06089898024835,31.0260593900894,"179063"
"31",35,179063,"F266",2019-06-14,14:07:42,-54,00:00:54,04:00:00,10:06:48,18,10:06:42,00:00:06,NA,45,45,NA,165,"Y","Y","Y","Y","MI",222,NA,1,5,1,4,0.5,0.3,27.3691,-82.6074,10:06:42,10:06:42,27.36930714,-82.60686007,00:00:00,00:00:06,27.368977,-82.607118,-26,4,0.296953,0,0,0,2.406708,NA,27.3691,-82.6074,1285024.48213396,-10259365.1540013,27.368977,-82.607118,1285055.12333036,-10259373.5364754,27.36930714,-82.60686007,1285081.11493934,-10259387.2787132,-82.606742340479,27.3689148746729,27.3689148746729,-82.606742340479,1285095.47383964,-10259386.0990394,74.0170040879092,68.2188258048836,42.2608756821288,37.7958029032383,"179063"
"32",36,179063,"F266",2019-06-14,14:17:53,-54,00:00:54,04:00:00,10:16:59,19,10:17:01,00:00:02,NA,7,7,NA,10,"Y","Y","Y","Y","PF",241,NA,2,4,NA,4,0.1,0.2,27.3682,-82.6046,10:17:01,10:17:02,27.36881076,-82.60547446,00:00:01,00:00:03,27.368736,-82.605303,-26,4,0.075,0,0,0,0.725119,NA,27.3682,-82.6046,1285327.24653509,-10259452.7899176,27.368736,-82.605303,1285249.80550636,-10259435.0440546,27.36881076,-82.60547446,1285231.17516912,-10259429.9473402,-82.6054621730317,27.3688729718458,27.3688729718458,-82.6054621730317,1285232.19964687,-10259431.2401571,97.4592383531077,113.296125853805,18.0121049475634,21.8706940224146,"179063"
"33",37,179063,"F266",2019-06-14,14:28:26,-54,00:00:54,04:00:00,10:27:32,20,10:27:34,00:00:02,NA,7,7,NA,225,"Y","Y","Y","Y","TR",258,NA,2,5,1,4,1,0,27.3736,-82.6087,10:27:34,10:27:32,27.37368467,-82.60856923,00:00:02,00:00:00,27.37278,-82.608348,-26,4,0.000469,0,0,0,2.031045,NA,27.3736,-82.6087,1284865.15632309,-10259380.4764917,27.37278,-82.608348,1284906.46537772,-10259381.7976834,27.37368467,-82.60856923,1284878.71370944,-10259386.30936,-82.6086192654856,27.3736400009803,27.3736400009803,-82.6086192654856,1284873.58275659,-10259383.9091743,9.09879612297552,9.13418774798045,32.9503439413662,99.0024406035061,"179063"
"34",38,179063,"F266",2019-06-14,14:49:12,-54,00:00:54,04:00:00,10:48:18,21,10:48:14,00:00:04,NA,65,65,NA,300,"Y","Y","Y","Y","MI",NA,NA,1,4,NA,4,1,-0.6,27.3733,-82.6111,10:48:14,10:48:12,27.37298571,-82.61062916,00:00:02,00:00:06,27.373245,-82.611211,-26,4,-0.59,0,0,0,0.815871,NA,27.3733,-82.6111,1284610.57716785,-10259290.6347365,27.373245,-82.611211,1284598.99181298,-10259285.9155394,27.37298571,-82.61062916,1284662.23569583,-10259303.1411724,-82.6111981932657,27.3732790052087,27.3732790052087,-82.6111981932657,1284600.20141737,-10259286.8394194,11.0481052567806,9.98847528659118,1.52206999378712,3.97537574496458,"179063"
"35",40,179064,"F264",2019-06-06,20:36:56,-19,00:00:19,04:00:00,16:36:37,1,16:38:07,00:01:30,20,NA,20,NA,240,"Y","Y","Y","Y",NA,NA,NA,1,6,NA,6,9.4,-1.8,27.3403,-82.5908,16:38:07,16:38:09,27.34169522,-82.59287302,00:00:02,00:01:32,27.340719,-82.590931,-26,6,-0.775586,15.692347,32.622819,0,11.416673,NA,27.3403,-82.5908,1286927.48750337,-10259561.7971684,27.340719,-82.590931,1286911.58627018,-10259562.8900608,27.34169522,-82.59287302,1286699.93614061,-10259507.0632354,-82.5930480573501,27.3416049744468,27.3416049744468,-82.5930480573501,1286681.67942797,-10259499.5798443,253.559865411133,265.321805562739,238.464545814785,231.353322259554,"179064"
"36",41,179064,"F264",2019-06-06,20:52:16,-19,00:00:19,04:00:00,16:51:57,2,16:51:56,00:00:01,NA,70,70,NA,275,"Y","Y","Y","Y","TR",NA,NA,1,5,NA,5,5.4,-2.1,27.355,-82.6023,16:51:56,16:51:54,27.35511985,-82.60126088,00:00:02,00:00:03,27.355115,-82.602298,-26,5,-1.122812,17.214748,35.78774,0,4.908415,NA,27.355,-82.6023,1285633.22814033,-10259353.6299068,27.355115,-82.602298,1285632.91300813,-10259355.2807926,27.35511985,-82.60126088,1285743.51222507,-10259392.3581152,-82.6019656790115,27.3551749059756,27.3551749059756,-82.6019656790115,1285668.08377755,-10259367.9628334,37.6875076244584,38.3378776583928,37.3873933553751,33.543619179886,"179064"
"37",42,179064,"F264",2019-06-06,21:07:41,-20,00:00:20,04:00:00,17:07:21,3,17:07:21,00:00:00,NA,100,100,NA,255,"Y","Y","Y","Y","TR",NA,NA,1,7,1,6,11.9,-1.1,27.3724,-82.6066,17:07:21,17:07:19,27.37256913,-82.60564168,00:00:02,00:00:02,27.372668,-82.606539,-26,6,-0.118125,13.073234,27.177947,0,10.911621,NA,27.3724,-82.6066,1285094.63615105,-10259439.0175469,27.372668,-82.606539,1285099.90988141,-10259444.8747702,27.37256913,-82.60564168,1285196.06379934,-10259475.568263,-82.6066180934716,27.3723355552206,27.3723355552206,-82.6066180934716,1285093.00270987,-10259437.4867594,2.23862468661487,7.36199162890868,10.1139370676492,37.6597911871433,"179064"
"38",43,179064,"F264",2019-06-10,12:18:47,-37,00:00:37,04:00:00,08:18:10,4,08:19:01,00:00:51,NA,80,80,333,210,"Y","Y","Y","Y","TR",6,NA,1,4,NA,4,5.2,1.1,27.2992,-82.5445,08:19:01,08:19:02,27.31453132,-82.5426443,00:00:01,00:00:52,27.304095,-82.543769,-26,4,0.385,0,0,0,8.055343,"was implausble before. Now not gtreat but better.",27.2992,-82.5445,1292056.70785229,-10260643.935513,27.304095,-82.543769,1292112.0991393,-10260737.7416095,27.31453132,-82.5426443,1292183.87298358,-10260922.3260048,-82.5430484310076,27.3139060781873,27.3139060781873,-82.5430484310076,1292143.64308204,-10260899.2723656,269.730685068653,1635.87861847555,164.581911134667,1089.48699193671,"179064"
"39",44,179064,"F264",2019-06-10,12:28:57,-37,00:00:37,04:00:00,08:28:20,5,08:27:50,00:00:30,NA,15,15,7,300,"Y","Y","Y","Y","TR",23,NA,3,7,NA,7,9.5,-1.8,27.3114,-82.5488,08:27:50,08:27:52,27.31120446,-82.54783547,00:00:02,00:00:28,27.311431,-82.548791,-26,7,-0.809375,12.500918,25.988158,0,5.961546,NA,27.3114,-82.5488,1291541.53225605,-10260659.7385077,27.311431,-82.548791,1291542.34937525,-10260660.4880119,27.31120446,-82.54783547,1291645.35097312,-10260691.3809325,-82.5479667122954,27.3112721443157,27.3112721443157,-82.5479667122954,1291631.0347305,-10260687.6439436,93.7518335050265,83.6868253358471,92.7498618065356,83.4653261768697,"179064"
"40",45,179064,"F264",2019-06-10,12:39:32,-37,00:00:37,04:00:00,08:38:55,6,08:39:05,00:00:10,NA,200,200,NA,180,"Y","Y","Y","Y","TR",42,NA,1,7,NA,7,5.1,-1.1,27.3075,-82.5573,08:39:05,08:39:02,27.30836383,-82.5569497,00:00:03,00:00:07,27.307377,-82.557101,-26,7,-1.100156,13.981642,29.066436,0,5.459553,NA,27.3075,-82.5573,1290652.57912201,-10260303.1337122,27.307377,-82.557101,1290674.3799382,-10260308.5185014,27.30836383,-82.5569497,1290685.97185206,-10260327.5468453,-82.5569497,27.3065589122967,27.3065589122967,-82.5569497,1290694.29721387,-10260302.5962429,41.7215539186758,109.893999651461,20.7791004732242,91.8797364665402,"179064"
"41",46,179064,"F264",2019-06-10,14:18:29,-38,00:00:38,04:00:00,10:17:51,7,10:17:54,00:00:03,NA,60,60,NA,200,"Y","Y","Y","Y","MI",117,NA,1,7,1,6,7.9,-0.1,27.3269,-82.5578,10:17:54,10:17:53,27.32751061,-82.55760591,00:00:01,00:00:02,27.327081,-82.557681,-26,6,-0.112187,14.331661,29.794089,0,11.460298,NA,27.3269,-82.5578,1290509.70895028,-10260553.4650034,27.327081,-82.557681,1290521.56922482,-10260560.2076612,27.32751061,-82.55760591,1290527.59694908,-10260568.8214256,-82.55781326577,27.3270017909336,27.3270017909336,-82.55781326577,1290507.82369979,-10260554.3990144,2.10393579002485,11.3554682378893,14.9224607963114,15.7600885896723,"179064"
"42",47,179064,"F264",2019-06-10,14:30:40,-38,00:00:38,04:00:00,10:30:02,8,10:30:03,00:00:01,NA,60,60,NA,180,"Y","Y","Y","Y","TR",128,NA,2,6,1,5,4.3,-0.3,27.3295,-82.5596,10:30:03,10:30:03,27.33006424,-82.55936787,00:00:00,00:00:01,27.329528,-82.559651,-26,5,-0.274375,18.204052,37.844404,0,1.013089,NA,27.3295,-82.5596,1290305.66857931,-10260525.2382295,27.329528,-82.559651,1290300.09831543,-10260523.807247,27.33006424,-82.55936787,1290327.82891422,-10260541.3085995,-82.55936787,27.3295227664197,27.3295227664197,-82.55936787,1290330.32861444,-10260533.8268887,26.1128780436864,23.1106029297144,31.8475147881052,28.0256611181711,"179064"
