DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Comment,Day,Time,Count,Time Offset,LocNumber,Failures,Hauled Out,Satellites,InitLat,InitLon,InitTime,InitType,Bad Sats,Residual,Time Error,Lat,Lon,Geoid,SatsUsed,Clk Error,CEP,R95,N/A,LocSolve.Residual
179063,179063,UT,5/29/2019 12:54,Argos,A,27.3293,-82.5897,2833,4062,1976,151,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 13:04,Argos,2,27.3353,-82.5721,373,854,163,138,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 13:06,FastGPS,6,27.3353,-82.5762,,,,,,29-May-19,13:06:00,2,,,,0,6,27.3353,-82.5762,05:59.9,FastGPS,0,5.2,-0.1,27.335389,-82.57628,-26,6,-0.118125,12.551218,26.092727,0,6.732007
179063,179063,UT,5/29/2019 13:37,Argos,2,27.3377,-82.5745,280,580,135,156,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 14:01,Argos,A,27.3404,-82.5714,877,2476,310,110,Speed to avg loc 129 x median,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 14:19,Argos,3,27.335,-82.5741,183,248,134,158,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 14:19,Argos,3,27.335,-82.5741,183,248,134,158,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,,,FastGPS,,,,,,,,,29-May-19,14:38:31,,,,,,,,,,,,,,27.33573,-82.576653,-26,4,0.445,0,0,0,3.133588
179063,179063,UT,5/29/2019 14:43,Argos,2,27.3397,-82.5776,438,1529,125,93,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 14:55,Argos,1,27.333,-82.5822,574,2224,148,67,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,UT,5/29/2019 15:21,Argos,1,27.3351,-82.5775,598,1042,343,83,,,,,,,,,,,,,,,,,,,,,,,,,
179063,179063,,,FastGPS,,,,,,,,,29-May-19,15:26:02,,,,,,,,,,,,,,27.336835,-82.578201,-26,4,0.745,0,0,0,0.601696
