Name,ID,Day,Time,Time Offset,TimeOffset.mmss,GMT,Tag.Time,Snap,Follow.Time,Tdiff,Distance.RF,Distance.V,Bearing.Goni,Bearing.HH,TagClear,TCL,TCC,TCR,Behav,WPT,Comments,Count,Satellites,Bad Sats,Good.Sats,Residual,Time Error,Latitude,Longitude,Failures,Hauled Out,InitLat,InitLon,InitTime,InitType,Latitude,Longitude,Height,TWIC Power,Fastloc Power,Noise,Range Bits,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR,Id,Range,Signal,Doppler,CNR
179062,F283,6-Jun-19,0:15:42,-18,0:00:18,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,4,4,,4,0.2,-0.1,27.5286,-82.7083,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5286,-82.7083,,,,,15,5,18808,,,39,13,20087,,,,2,6477,,,,6,25657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,1:22:23,-18,0:00:18,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,3,7,3,4,25.1,-1.7,27.502,-82.6946,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.502,-82.6946,,,,,15,5,28839,,,41,13,16669,,,,15,29227,,,,29,12886,,,,2,9978,,,,21,11656,,,,25,22188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,1:54:58,-18,0:00:18,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,4,4,,4,49,-1.4,27.5012,-82.6943,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.5012,-82.6943,,,,,15,21,20692,,,,13,6788,,,,5,11499,,,,29,19400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,2:27:50,-18,0:00:18,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,2,6,,6,14.5,-1,27.4867,-82.697,,0,27.4867,-82.697,27:31.0,FastGPS,27.4867,-82.697,,,,,15,29,11314,,,40,20,6210,,,,5,31361,,,,2,4835,,,,10,7538,,,,15,25948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,3:17:08,-19,0:00:19,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,3,5,1,4,0.8,-1,27.4798,-82.6798,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4798,-82.6798,,,,,15,29,11637,,,42,13,5726,,,,24,18074,,,,15,12119,,,,21,11170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,3:47:17,-19,0:00:19,4:00:00,###############################################################################################################################################################################################################################################################,0,,,,,,,,,,,,,,1,4,,4,0.7,-0.6,27.4814,-82.673,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4814,-82.673,,,,,15,24,5329,,,,15,5601,,,,20,29471,,,,10,16542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,4:04:35,-19,0:00:19,4:00:00,0:04:16,0,,,,,,,,,,,,,,1,0,,0,,,,,,0,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,4:20:13,-19,0:00:19,4:00:00,0:19:54,0,,,,,,,,,,,,,,2,6,2,4,0.3,-1,27.4817,-82.6728,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4817,-82.6728,,,,,15,20,656,,,38,15,31782,,,,27,3382,,,,24,13194,,,,29,5206,,,,21,32068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,5:24:01,-19,0:00:19,4:00:00,1:23:42,0,,,,,,,,,,,,,,1,4,,4,0.2,0.5,27.478,-82.6427,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.478,-82.6427,,,,,15,32,2779,,,,21,7929,,,,24,21158,,,,15,29260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179062,F283,6-Jun-19,5:39:04,-19,0:00:19,4:00:00,1:38:45,0,,,,,,,,,,,,,,1,6,2,4,0.7,-0.8,27.4855,-82.65,,0,27.478,-82.6783,6/6/2019 10:22,SR,27.4855,-82.65,,,,,15,10,9714,,,42,20,7670,,,,24,30359,,,,32,16224,,,,14,31728,,,,21,27426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
