"","X1","Name","ID","Day","Time","Time Offset","TimeOffset.mmss","GMT","Tag.Time","Snap","Follow.Time","Tdiff","Distance.RF","Distance.V","Distance","Bearing.Goni","Bearing.HH","TagClear","TCL","TCC","TCR","Behav","WPT","Comments","Count","Satellites","Bad Sats","Good.Sats","Residual","Time Error","Latitude","Longitude","Follow.Time.","Track.Time","Track.Lat","Track.Lon","Tdiff.Follow.Track","Tdiff.Tag.Track","LocSolve.Lat","LocSolve.Lon","Geoid","SatsUsed","Clk Error","CEP","R95","N/A","LocSolve.Residual","Comment","crwl.lon.tag","crwl.lat.tag","crwl.lon.follow","crw.lat.follow","Tag.Lat.WGS","Tag.Lon.WGS","Tag.Lat.UTM","Tag.Lon.UTM","LS.Tag.Lat.WGS","LS.Tag.Lon.WGS","LS.Tag.Lat.UTM","LS.Tag.Lon.UTM","Dolphin.Lon","Dolphin.Lat","dist.WGS","distance","LS.distance"
"11",12,179062,"F283",2019-06-13,14:31:44,-58,00:00:58,04:00:00,10:30:46,11,10:30:48,00:00:02,NA,50,50,NA,235,"Y","Y","Y","Y","TR",146,NA,3,7,1,6,7.6,-1.1,27.4788,-82.7001,10:30:48,10:30:51,27.47899516,-82.69989459,00:00:03,00:00:05,27.478767,-82.700138,-26,6,-0.068125,9.944631,20.673894,0,2.368744,"was implausaible. Now closer.",-82.699848,27.478941,-82.699863,27.478935,27.4788,-82.7001,1274639.55009893,-10257541.3603634,27.478767,-82.700138,1274635.6511919,-10257539.5491593,-82.7002774198702,27.4786761911759,22.2639631203025,22.2639631203025,17.0621782620368
"12",15,179062,"F283",2019-06-14,16:43:07,-64,00:01:04,04:00:00,12:42:03,12,12:42:05,00:00:02,NA,10,10,NA,150,"Y","Y","Y","Y","TR",394,"FR 35 Cam B",1,4,NA,4,42.2,6.2,27.4526,-82.6388,12:42:05,12:42:02,27.47882023,-82.66465732,00:00:03,00:00:01,27.48161,-82.666719,-26,4,-0.495,0,0,0,11.162634,NA,-82.664695,27.478766,-82.664691,27.478748,27.4526,-82.6388,1281292.81147871,-10259384.6692369,27.48161,-82.666719,1278184.01593315,-10258778.1537751,-82.6646404086782,27.4786698466808,3856.02403546048,3856.02403546048,385.158343378519
"13",16,179062,"F283",2019-06-14,16:53:46,-64,00:01:04,04:00:00,12:52:42,13,12:52:44,00:00:02,NA,60,60,NA,315,"Y","Y","Y","Y","TR",410,NA,1,4,NA,4,9.3,6.2,27.5227,-82.6556,12:52:44,12:52:42,27.47695869,-82.66948571,00:00:02,00:00:00,27.481941,-82.668708,-26,4,0.475,0,0,0,2.528775,NA,-82.669531,27.476967,-82.669531,27.476967,27.5227,-82.6556,1279180.10047855,-10259737.2587141,27.481941,-82.668708,1277970.53285268,-10258711.2242954,-82.669960276484,27.4773498708862,5221.80467526147,5221.80467526147,523.58561965809
"14",17,179063,"F266",2019-06-06,20:47:47,-19,00:00:19,04:00:00,16:47:28,1,16:47:28,00:00:00,NA,50,50,NA,335,"Y","Y","Y","Y","TR",NA,NA,2,5,1,4,0.3,0.6,27.3496,-82.5993,16:47:28,16:47:29,27.35056152,-82.59871982,00:00:01,00:00:01,27.350907,-82.598749,-26,5,0.250312,22.461306,46.694808,0,8.866033,NA,-82.59876,27.350539,-82.59876,27.350539,27.3496,-82.5993,1285978.03672745,-10259386.4877778,27.350907,-82.598749,1286030.80236022,-10259424.1060313,-82.5989735624021,27.3509479500451,152.817487438311,152.817487438311,22.6779172981041
"15",18,179063,"F266",2019-06-10,15:22:52,-36,00:00:36,04:00:00,11:22:16,2,11:23:30,00:01:14,NA,50,50,NA,275,"Y","Y","Y","Y","TR",154,"beginning follow",1,4,NA,4,0.8,-0.6,27.3584,-82.5891,11:23:30,11:23:33,27.35877469,-82.5893937,00:00:03,00:01:17,27.358514,-82.589207,-26,4,0.425,0,0,0,0.44465,NA,-82.588814,27.357161,-82.589409,27.358675,27.3584,-82.5891,1287025.53150209,-10259871.4764367,27.358514,-82.589207,1287013.59371066,-10259869.2257188,-82.5899124438711,27.3587143260397,87.6034268240494,87.6034268240494,73.2402225982723
"16",19,179063,"F266",2019-06-11,13:23:48,-40,00:00:40,04:00:00,09:23:08,3,09:23:13,00:00:05,NA,70,70,NA,130,"Y","Y","Y","Y","MI",289,NA,1,5,1,4,0.2,-0.8,27.3093,-82.563,09:23:13,09:23:13,27.30994776,-82.56364005,00:00:00,00:00:05,27.309253,-82.562932,-26,5,0.23625,14.093343,29.298652,0,0.476456,NA,-82.563723,27.310294,-82.563621,27.310127,27.3093,-82.563,1290036.09101131,-10260125.0591285,27.309253,-82.562932,1290043.56315468,-10260126.8311493,-82.5630792512799,27.3097209365358,47.2983423289148,47.2983423289148,53.8608730010938
"17",20,179063,"F266",2019-06-12,13:07:16,-45,00:00:45,04:00:00,09:06:31,4,09:07:19,00:00:48,NA,40,40,NA,225,"Y","Y","Y","Y","MI",27,NA,1,6,2,4,0.7,-0.5,27.3495,-82.601,09:07:19,09:07:18,27.34978887,-82.60053861,00:00:01,00:00:47,27.349389,-82.601104,-26,5,0.535,19.71337,40.982124,0,3.540042,NA,-82.600663,27.349882,-82.600518,27.349796,27.3495,-82.601,1285797.16396718,-10259324.4648857,27.349389,-82.601104,1285786.58072161,-10259319.2297463,-82.6008038551618,27.3495407473403,19.9260838662279,19.9260838662279,34.1280904664406
"18",21,179063,"F266",2019-06-12,13:17:38,-45,00:00:45,04:00:00,09:16:53,5,09:16:46,00:00:07,NA,15,15,NA,225,"Y","Y","Y","Y","PF",42,NA,1,4,NA,4,1,-1.1,27.3492,-82.6004,09:16:46,09:16:48,27.34962509,-82.60072092,00:00:02,00:00:05,27.349482,-82.600814,-26,4,-0.09,0,0,0,2.299611,NA,-82.600713,27.349631,-82.600722,27.349641,27.3492,-82.6004,1285862.54208856,-10259341.7486178,27.349482,-82.600814,1285817.08654041,-10259330.8532707,-82.60082919569,27.3495452803201,57.1604376091864,57.1604376091864,7.17142025580715
"19",22,179063,"F266",2019-06-12,13:58:05,-45,00:00:45,04:00:00,09:57:20,6,09:57:23,00:00:03,NA,25,25,350,145,"N","Y","Y","Y","SO",119,NA,1,5,1,4,0.1,-1.3,27.354,-82.6044,09:57:23,09:57:19,27.35428149,-82.60491463,00:00:04,00:00:01,27.353946,-82.60435,-26,4,-0.2875,0,0,0,1.50419,NA,-82.60493,27.354255,-82.604909,27.35424,27.354,-82.6044,1285413.83177691,-10259264.9591433,27.353946,-82.60435,1285419.41295848,-10259266.0018395,-82.6047640727797,27.3540551884068,36.5375608130426,36.5375608130426,42.7184822173363
"20",24,179063,"F266",2019-06-12,14:20:00,-45,00:00:45,04:00:00,10:19:15,7,10:19:19,00:00:04,NA,30,30,NA,155,"Y","Y","Y","Y","TR",154,NA,5,6,2,4,0.2,-0.9,27.3504,-82.5991,10:19:19,10:19:19,27.35059882,-82.59908041,00:00:00,00:00:04,27.350373,-82.599075,-26,4,0.174375,0,0,0,1.142524,NA,-82.599098,27.350552,-82.599114,27.350588,27.3504,-82.5991,1285995.69309515,-10259404.6160387,27.350373,-82.599075,1285998.48383537,-10259405.136963,-82.5989858632553,27.3503426298064,12.9596300713511,12.9596300713511,9.4399070407712
